filename,label,xmin,ymin,xmax,ymax
8.jpg,tony,319,5,405,182
9.jpg,tony,249,174,285,243
14.jpg,tony,195,57,247,139
15.jpg,tony,264,69,336,208
17.jpg,tony,99,32,175,172
16.jpg,tony,233,81,270,158
12.jpg,tony,163,85,207,152
13.jpg,tony,252,195,306,281
11.jpg,tony,66,57,141,206
10.jpg,tony,303,67,358,179
20.jpg,tony,202,184,235,244
18.jpg,tony,340,28,416,146
19.jpg,tony,215,44,288,180
4.jpg,tony,294,40,352,140
5.jpg,tony,161,191,221,305
7.jpg,tony,318,48,349,108
6.jpg,tony,250,154,285,216
2.jpg,tony,136,43,184,124
3.jpg,tony,284,46,324,114
1.jpg,tony,208,68,264,152
